city, cleaned_city
atashquan, Natashquan
ummela, Nummela
otodden, Notodden
ouakschott, Nouakschott
imes, Nimes
angis, Nangis
uevo Casas Grandes, Nuevo Casas Grandes
ueva Gerona, Nueva Gerona
orth Eleuthera, North Eleuthera
andi, Andi
ejran, Nejran
awapara, Nawapara
agarjunsagar, Nagarjunsagar
agoya, Nagoya
orthway, Northway
auru, Nauru
izhniy ovgorod, Nizhniy Novgorod
orway House, Norway House
ew Bedford, New Bedford
andayure, Nandanyure
iuatoputapu, Niuatoputapu
ha Trang, Nha Trang
unukan-unukan Island, Nunukan-unukan Island
anyang, Nanyang
auen, Nauen
izhneangarsk, Nizhneangarsk
ittenau, Nittenau
ordborg, Nordborg
ovo Progresso, Novo Progresso
ovo Aripuana, Novo Aripuana
ew Castle, New Castle
ejanilini Lake, Nejanilini Lake
adzab, Nadzab
orth Battleford, North Battleford
iamey, Niamey
iatougou, Natougou
ewcastle, Newcastle
ordholz, Nordholz
is, Nis
airobi, Nairobi
evatim, Nevatim
anki-shirahama, Nanki-shirahama
yutabaru, Nyutabaru
akhon Pathom, Nakhon Pathom
akhon Si Thammarat, Nakhon Si Thammarat
abire, Nabire
iagara Falls, Niagara Falls
ew York, New York
evsehir, Nevsehir
eiva, Neiva
iigata, Niigata
arsaq, Qarsaq
ottingham, Nottingham
ioki, Nioki
orth Bend, North Bend
azca, Nazca
yagan, Nyagan
ewman, Newman
anded, Nanded
elspruit, Nelspruit
ajaf, Najaf
orth Kingstown, North Kingstown
eumuenster, Neumuenster
ot Specified, Not Specified
arsaq Kujalleq, Qarsaq Kujalleq
emiscau, Nemiscau
iijima, Niijima
ikolayev, Nikolayev
ewport, Newport
apa, Napa
oonkanbah, Noonkanbah
apaskiak, Napaskiak
anisivik, Nanisivik
orth Bay, North Bay
aivasha, Naivasha
yirregyhaza, Nyirregyhaza
ogales, Nogales
assau, Nassau
asik Road, Nasik Road
arathiwat, Narathiwat
angapinoh, Nangapinoh
ashville, Nashville
arvik, Narvik
orth Ronaldsay, North Ronaldsay
yala, Nyala
efteyugansk, Nefteyugansk
anchong, Nanchong
avoi, Navoi
iederoeblarn, Niederoeblarn
iau, Niau
ightmute, Nightmute
orth Wilkesboro, North Wilkesboro
appanee , Nappanee
adunumu, Nadunumu
orfolk  ebraska, Norfolk Nebraska
yirripi, Yirripi
zerekore, Nzerekore
orth Myrtle Beach, North Myrtle Beach
ewberry, Newberry
eedles, Needles
uugaatsiaq, Nuugaatsiaq
arssarssuaq, Narssarssuaq
orman Wells, Norman Wells
ortholt, Northolt
osy-be, Nosy-be
ouadhibou, Nouadhibou
ea Anghialos, Nea Anghialos
orman's Cay, Norman's Cay
ausori, Nausori
uku Hiva, Nuku Hiva
ew Plymouth, New Plymouth
akashibetsu, Nakashibetsu
anning, Nanning
ew Haven, New Haven
akhon Sawan, Nakhon Sawan
ampong, Kampong
orden, Norden
orilsk, Norilsk
ovy Urengoy, Novy Urengoy
icosia, Nicosia
adym, Nadym
ukus, Nukus
oatak, Noatak
ulato, Nulato
ikolski, Nikolski
elson Lagoon, Nelson Lagoon
ikolai, Nikolai
ova Iguacu, Nova Iguacu
aryn, Naryn
orsup, Norsup
ew Stuyahok, New Stuyahok
owra, Nowra
oorvik, Noorvik
apakiak, Napakiak
uussuaq, Nuussuaq
ewton, Newton
orth Weald, North Weald
iederstetten, Niederstetten
ylstroom, Nylstroom
acala, Nacala
ice, Nice
oumea, Noumea
elson, Nelson
agasaki, Nagasaki
akhon Ratchasima, Nakhon Ratchasima
orfolk Island, Norfolk Island
inbo, Ninbo
anjing, Nanjing
orfolk, Norfolk
ome, Nome
ewport ews, Newport News
aha, Naha
an, Nan
oyabrsk, Noyabrsk
anortalik, Nanortalik
akina, Nakina
anyuki, Nanyuki
oshahr, Noshahr
aga, Naga
akhchivan, Nakhchivan
ovokuznetsk, Novokuznetsk
uiqsut, Nuiqsut
ovato, Novato
orwood, Norwood
otsch Im Gailtal, Notsch Im Gailtal
eustadt-Glewe, Neustadt-Glewe
ordfjordur, Nordfjordur
ogliki, Nogliki
iaqornat, Niaqornat
arrandera, Narrandera
ikunau, Nikunau
ienburg Weser, Nienburg Weser
usawiru, Nusawiru
ew Smyrna Beach, New Smyrna Beach
orth Shore, North Shore
ikolayevsk-na-Amure Airport, Nikolayevsk-na-Amure Airport
orwich, Norwich
orrkoeping, Norrkoeping
oervenich, Noervenich
ema, Nema
evers, Nevers
amest, Namest
atal, Natal
izhnevartovsk, Nizhnevartovsk
ew Orleans, New Orleans
avegantes, Navegantes
ew Bern, New Bern
agpur, Nagpur
ain, Nain
ormanton, Normanton
zagi, Nzagi
onouti, Onouti
ashua, Nashua
ew Philadelpha, New Philadelphia
agaur, Nagaur
asiriyah, Nasiriyah
aracoorte, Naracoorte
iaqornaarsuk, Niaqornaarsuk
amlea, Namlea
apuka, Napuka
ovgorod, Novgorod
eryungri, Neryungri
ewnan, Newnan
ipawin, Nipawin
ikolskoye, Nikolskoye
anaimo, Nanaimo
orderney, Norderney
euburg, Neuburg
dola, Ndola
ampula, Nampula
osara Beach, Nosara Beach
hatrang, Nhatrang
amsang, Namsang
ewark, Newark
antucket, Nantucket
euquen, Neuquen
akhon Phanom, Nakhon Phanom
eerlerit Inaat, Nerlerit Inaat
orth Platte, North Platte
ecochea, Necochea
uquí, Nuquí
amangan, Namangan
yingchi, Nyingchi
orth Connel, North Connel
ull, Null
agan Raya, Nagan Raya
enana, Nenana
inglang, Ninglang
eubrandenburg, Neubrandenburg
ew Richmond, New Richmond
uernberg, Nuernberg
ewquai, Newquai
iort, Niort
ancy, Nancy
aples, Naples
orth Caicos, North Caicos
uevo Laredo, Nuevo Laredo
egage, Negage
antes, Nantes
ainital, Nainital
anchang, Nanchang
ewburgh, Newburgh
awabshah, Nawabshah
ovosibirsk, Novosibirsk
aryan-Mar, Naryan-Mar
orth Spirit Lake, North Spirit Lake
amsos, Namsos
alchik, Nalchik
epalgunj, Nepalgunj
euchatel, Neuchatel
aypyidaw, Naypyidaw
izhnekamsk, Nizhnekamsk
ondalton, Nondalton
egril, Negril
ieuw ickerie, Nieuw Nickerie
y-Alesund, Ny-Alesund
amur, Namur
ewtownards, Newtownards
gawa, Ngawa
eodesha, Neodesha
ovi Ligure, Novi Ligure
ovi Sad, Novi Sad
ortheim, Northeim
yurba, Nyurba
ukutavake, Nukutavake
icoya, Nicoya
gau, Ngaou
arrabri, Narrabri
atuashish, Natuashish
annhausen, Nannhausen
